"day","week","pillar","title","format","channel","buyer_stage","search_or_share","primary_goal","cta","evidence_required","status"
"52","8","Brand thesis","What OVO Labs refuses to fabricate","manifesto","Learn + LinkedIn","awareness","shareable","Codify proof rules","Read the company thesis","Current interface and governance documents","planned"
"54","8","Product finding","Concept sets without protocols or outcome claims","product note","Learn","consideration","both","Explain transparent bundle anatomy","Browse concept sets","Concept-set data and claims review","planned"
"57","9","Ecommerce evidence","The state library every technical storefront needs","guide","Learn","implementation","searchable","Define loading empty error success and focus states","Review OVO Labs states","Fable contract and rendered evidence","planned"
"59","9","Market intelligence","What broad catalogs gain and lose","analysis","Learn + LinkedIn","consideration","both","Explain breadth versus findability","Browse OVO Labs' narrow catalog","Competitor observations and Baymard citation","planned"
"61","9","Performance","OVO Labs performance budget: images fonts scripts and motion","technical note","Learn","implementation","searchable","Publish measurable guardrails","View the performance checklist","Lighthouse and asset data","planned"
"64","10","Product finding","The product-code advantage","article","Learn","awareness","searchable","Explain stable identity in search and support","Search OVO-001","Catalog model and scientific-supplier examples","planned"
"66","10","Testing states","Planned pending reported reviewed rejected","state guide","Learn","consideration","searchable","Define future report states without implying reports exist","Open the state glossary","Operating-model definitions and claims review","planned"
"68","10","Ecommerce evidence","Why every visible control has to work","QA article","Learn + LinkedIn","implementation","shareable","Establish no-no-op rule","Test the demo end to end","QA results","planned"
"71","11","Market intelligence","Quarterly peptide storefront UX benchmark: method","methodology","Learn","awareness","both","Publish the scoring system before results","Read the scorecard","Dated captures and evidence rubric","planned"
"73","11","Market intelligence","Quarterly peptide storefront UX benchmark: findings","report","Learn + LinkedIn","consideration","both","Establish transparent category intelligence","Download the audit table","Completed audit with dated source set","planned"
"75","11","Product finding","What zero-result searches teach the catalog team","analysis","Learn","implementation","searchable","Turn behavior into taxonomy work","Try product search","Aggregate non-sensitive search data","planned"
"78","12","Accessibility","Mobile menu and cart focus: the hidden conversion path","screen walkthrough","Learn + YouTube","implementation","both","Demonstrate accessible interactions","Open the mobile demo","Keyboard and screen-reader QA","planned"
"80","12","Ecommerce evidence","What the first 10 usability sessions changed","research report","Learn + LinkedIn","consideration","shareable","Show learning without inventing outcomes","Read the change log","Actual moderated-session notes","blocked_pending_research"
"82","12","Brand thesis","A fiction banner is not a compliance system","article","Learn","awareness","both","Explain the current boundary","Read the launch gates","FDA sources and legal review","planned"
"85","13","Testing states","Testing & COAs end-to-end walkthrough","screen walkthrough","Learn + YouTube","consideration","both","Demonstrate identity-first empty states","Search a product code","Current rendered evidence","planned"
"87","13","Ecommerce evidence","Control versus variant: how OVO Labs will run honest CRO","playbook","Learn","implementation","searchable","Publish test governance","Review the experiment backlog","Experiment templates and analytics dictionary","planned"
"89","13","Company building","OVO Labs' 12-month roadmap and kill criteria","founder article","Learn + LinkedIn","decision","shareable","Show disciplined company thinking","Read the roadmap","Board-reviewed roadmap","planned"
"90","13","Company building","Ninety-day review: what the storefront proves and what it does not","report","Learn","decision","both","Close the cycle with evidence boundaries","Explore the revised storefront","Actual analytics QA and research evidence","blocked_pending_data"
